hour_of_day,p50_speed_mph
0,13.771812080536911
1,14.190291262135922
2,14.608695652173916
3,15.345844504021446
4,17.35458167330677
5,18.265139116202946
6,15.213389121338913
7,12.169014084507042
8,10.107091172214181
9,9.712871287128714
10,9.479452054794521
11,9.07563025210084
12,9.0
13,9.094240837696335
14,8.94065934065934
15,8.94478527607362
16,9.086896551724138
17,9.174311926605505
18,9.587939698492463
19,10.363636363636363
20,11.106382978723403
21,11.76
22,12.244897959183673
23,13.013752455795677
