issue,rows,pct
fare_component_mismatch,11746888,0.2962189572963028
RatecodeID_out_of_spec,1502097,0.0378780837186755
payment_type_out_of_spec,1368303,0.0345042268152555
store_and_fwd_flag_out_of_spec,1368303,0.0345042268152555
nonpositive_distance,574059,0.014475932553929033
total_amount_nonpositive,262015,0.006607180565268928
avg_speed_over_80_mph,49250,0.0012419275340705483
duration_over_6_hours,46979,0.0011846601750883307
invalid_trip_duration,32035,0.0008078202752071069
missing_avg_mph,32035,0.0008078202752071069
cash_payment_with_recorded_tip,1753,4.4205055172094847e-05
distance_over_100_miles,1529,3.8556491362312046e-05
trip_outside_year,1146,2.889845591969235e-05
passenger_count_over_6,412,1.038932272156479e-05
